date,sector,flow_dollar,flow_pct_aum,flow_zscore,flow_5d_sum,flow_20d_sum,positive_days_5d,negative_days_5d,positive_days_20d,negative_days_20d,persistence_5d,persistence_20d,n_obs_5d,n_obs_20d,price_ret_5d,price_ret_20d,price_flow_regime,price_flow_regime_5d,price_flow_regime_20d
2026-09-04,XLRE,-37332901.0,-0.4543025168806854,-1.5110599823981825,-37401030.75,-225367158.35,3,2,6,11,0.6,0.3529411764705882,5,20,-0.0047608043882768,-0.0112612608742495,Confirmación de debilidad,Confirmación de debilidad,Confirmación de debilidad
2026-09-04,XLC,61640140.1,0.2719406665909293,0.9134968036940052,161760859.0,-84905758.6,4,1,8,10,0.8,0.4444444444444444,5,20,0.0005382878080617,-0.0027721110874754,Confirmación de debilidad,Confirmación,Confirmación de debilidad
2026-09-08,XLK,93939158.5,0.0767092595899311,0.3338900292346351,85348688.35,-417143885.85000014,3,2,10,10,0.6,0.5,5,20,0.0088235025236007,-0.0192735326585026,Confirmación de debilidad,Confirmación,Confirmación de debilidad
2026-09-08,XLF,191912589.0,0.3505851142136695,0.4946195485809005,535564555.5,-3476008572.4000006,4,1,8,12,0.8,0.4,5,20,-0.0137010218109253,-0.0181284404394805,Confirmación de debilidad,Absorción potencial,Confirmación de debilidad
2026-09-08,XLV,-16712528.4,-0.0385482238467658,-0.0208775157808421,319331981.20000005,-371461430.3,3,2,10,10,0.6,0.5,5,20,-0.0421508725918882,-0.016504385769431,Confirmación de debilidad,Absorción potencial,Confirmación de debilidad
2026-09-08,XLE,-22662468.15,-0.053276634454341,0.0072367033398356,567931325.4500002,70151068.90000004,3,2,9,11,0.6,0.45,5,20,-0.0026113390619032,0.063903024805596,Confirmación,Absorción potencial,Confirmación
2026-09-08,XLY,-182430764.8,-0.8302781496322662,-2.0133252823143817,-276441471.15,-772817703.3,2,3,6,12,0.4,0.3333333333333333,5,20,-0.0252481413065355,-0.0503011310194007,Confirmación de debilidad,Confirmación de debilidad,Confirmación de debilidad
2026-09-08,XLP,-50395215.0,-0.3495040923369206,-0.4944807236072976,64062506.45,4169867.650000021,3,2,9,9,0.6,0.5,5,20,-0.0285280308222904,-0.0233898148840624,Absorción potencial,Absorción potencial,Absorción potencial
2026-09-08,XLI,17438587.5,0.0549372066835277,0.0216669497956997,-72771201.69999999,-933107556.75,3,2,8,11,0.6,0.4210526315789473,5,20,-0.0129065617738982,-0.0824725706281288,Confirmación de debilidad,Confirmación de debilidad,Confirmación de debilidad
2026-09-08,XLB,-88297799.39999999,-1.032822810822681,-1.3482667839361884,-78066453.44999999,-91575020.55,2,3,7,12,0.4,0.3684210526315789,5,20,-0.0413598188829312,-0.0346139871841266,Confirmación de debilidad,Confirmación de debilidad,Confirmación de debilidad
2026-09-08,XLU,-28235719.2,-0.1253499397397358,-0.2928740649327317,52755150.14999999,-87727791.94999999,3,2,8,10,0.6,0.4444444444444444,5,20,-0.0035152968741115,-0.0301094819851704,Confirmación de debilidad,Absorción potencial,Confirmación de debilidad
2026-09-08,XLRE,-2194136.8000000003,-0.0267308208939187,-0.1248195147446299,-61649230.55,-227561295.15000004,2,3,6,12,0.4,0.3333333333333333,5,20,-0.0155499728400181,-0.032366877659688,Confirmación de debilidad,Confirmación de debilidad,Confirmación de debilidad
2026-09-08,XLC,-5576428.6,-0.0247279920559119,0.0608521995758718,111591632.8,-90482187.19999996,3,2,8,11,0.6,0.4210526315789473,5,20,-0.0081835810703602,0.011154469886446,Divergencia bajista,Absorción potencial,Divergencia bajista
2026-09-09,XLK,-187866319.0,-0.153654252738421,-1.2292832227547232,-157607803.05,-847013294.75,2,3,9,11,0.4,0.45,5,20,0.0230341741537682,0.0095652577480029,Divergencia bajista,Divergencia bajista,Divergencia bajista
2026-09-09,XLF,-285238735.0,-0.5260137867082311,-0.7645242134489645,218867088.25,-3856632802.55,3,2,7,13,0.6,0.35,5,20,-0.002447541744425,-0.0128027313760767,Confirmación de debilidad,Absorción potencial,Confirmación de debilidad
2026-09-09,XLV,49956522.3,0.1155110895730474,0.309391060793054,68959525.25,-271093542.8,3,2,11,9,0.6,0.55,5,20,-0.0296498886944789,-0.0085113548154009,Confirmación de debilidad,Absorción potencial,Confirmación de debilidad
2026-09-09,XLE,-195897138.0,-0.4587517894151457,-0.8150707431915312,15713211.449999988,-412029602.0999999,2,3,8,12,0.4,0.4,5,20,0.0083372077121322,0.0718857251186637,Divergencia bajista,Confirmación,Divergencia bajista
2026-09-09,XLY,-129342213.5,-0.6003450566309776,-1.4386429200200552,-990134922.05,-764989646.3999999,1,4,6,12,0.2,0.3333333333333333,5,20,-0.0185879860501719,-0.0568601048369938,Confirmación de debilidad,Confirmación de debilidad,Confirmación de debilidad
2026-09-09,XLP,166058094.0,1.1515973781541502,1.934478253338451,328165023.45,153289555.85,4,1,9,9,0.8,0.5,5,20,-0.0258064158151576,-0.0193647342351075,Absorción potencial,Absorción potencial,Absorción potencial
2026-09-09,XLI,-51525951.0,-0.1650836974910341,-0.3300580877133258,-322922524.95,-854625030.55,2,3,8,11,0.4,0.4210526315789473,5,20,-0.005442033605379,-0.0749057829332454,Confirmación de debilidad,Confirmación de debilidad,Confirmación de debilidad
2026-09-09,XLB,-2569021.45,-0.0303863720142954,-0.0823435915089865,-51989351.35,-62210621.8,2,3,7,12,0.4,0.3684210526315789,5,20,-0.0130593491292717,-0.0347483514367844,Confirmación de debilidad,Confirmación de debilidad,Confirmación de debilidad
2026-09-09,XLU,25766851.8,0.1155739070264988,0.3816618918276043,21051238.35,16552248.249999993,3,2,9,9,0.6,0.5,5,20,0.0089285066061213,-0.0158148618958093,Absorción potencial,Confirmación,Absorción potencial
2026-09-09,XLRE,0.0,0.0,0.0,-15395967.2,-218751812.55,2,2,6,11,0.5,0.3529411764705882,5,20,-0.0143052010676301,-0.0151996813931745,Confirmación de debilidad,Confirmación de debilidad,Confirmación de debilidad
2026-09-09,XLC,66483902.400000006,0.2958579885464379,0.9811835439949648,122646532.20000002,59437459.45000001,3,2,9,10,0.6,0.4736842105263157,5,20,-0.0004508966775045,-0.0039542987803186,Absorción potencial,Absorción potencial,Absorción potencial
2026-09-10,XLK,-166680099.9,-0.1384803306261289,-1.123905954210395,-250843014.15,-598223203.25,2,3,9,11,0.4,0.45,5,20,0.0091412428729549,-0.0162499661062446,Confirmación de debilidad,Divergencia bajista,Confirmación de debilidad
2026-09-10,XLF,324217350.90000004,0.5960812833225059,0.8791736189132425,626665982.95,-3092361619.6500006,4,1,8,12,0.8,0.4,5,20,-0.022370241505638,-0.0173360513324954,Confirmación de debilidad,Absorción potencial,Confirmación de debilidad
2026-09-10,XLV,-33129834.0,-0.0770667399807558,-0.0879135336151361,-24707990.85,-169486556.0,2,3,11,9,0.4,0.55,5,20,-0.0455961800008754,-0.0179356466616257,Confirmación de debilidad,Confirmación de debilidad,Confirmación de debilidad
2026-09-10,XLE,172063675.85,0.4035952542033846,0.9294901822340024,28362421.25,-145382590.4,2,3,9,11,0.4,0.45,5,20,0.0080469919678842,0.0668194877922505,Divergencia bajista,Confirmación,Divergencia bajista
2026-09-10,XLY,-145533814.4,-0.6832880701236953,-1.6311050987444835,-463595049.1,-916417639.2999998,1,4,5,13,0.2,0.2777777777777778,5,20,-0.030053237399232,-0.046348653484292,Confirmación de debilidad,Confirmación de debilidad,Confirmación de debilidad
2026-09-10,XLP,-124662558.0,-0.8712227630681533,-1.3386829801664546,147935107.5,-702941909.35,3,2,8,10,0.6,0.4444444444444444,5,20,-0.0220502561072961,-0.0304651482160701,Confirmación de debilidad,Absorción potencial,Confirmación de debilidad
2026-09-10,XLI,-85274812.5,-0.2758986022385365,-0.5020476396648902,-347735849.3,-1246604771.8,2,3,7,12,0.4,0.3684210526315789,5,20,-0.0125458436757318,-0.0722320827488127,Confirmación de debilidad,Confirmación de debilidad,Confirmación de debilidad
2026-09-10,XLB,43143452.55,0.5139136042904499,0.6175811462766047,46758987.95,-47992070.2,3,2,7,12,0.6,0.3684210526315789,5,20,-0.0317369479825927,-0.0259988639772043,Confirmación de debilidad,Absorción potencial,Confirmación de debilidad
2026-09-10,XLU,0.0,0.0,0.0546100522063216,10388170.1,23129762.80000001,2,2,9,8,0.5,0.5294117647058824,5,20,-0.0148733304160901,-0.0374659739232012,Absorción potencial,Absorción potencial,Absorción potencial
2026-09-10,XLRE,-58089016.35,-0.7269789905883471,-2.348116054440238,-90976643.15,-285737780.1,1,3,5,12,0.25,0.2941176470588235,5,20,-0.0187571035266596,-0.0376773227655845,Confirmación de debilidad,Confirmación de debilidad,Confirmación de debilidad
2026-09-10,XLC,-22292661.6,-0.0987166828709775,-0.1515529441602818,111594481.20000002,15084623.45000001,3,2,8,11,0.6,0.4210526315789473,5,20,-0.0068795095977421,0.0004442063172604,Confirmación,Absorción potencial,Confirmación
2026-09-11,XLK,-168957510.3,-0.1386723646906034,-1.1252395596574272,-364000079.55,-633664550.3500001,2,3,9,11,0.4,0.45,5,20,-0.0160187954909984,-0.030156285949121,Confirmación de debilidad,Confirmación de debilidad,Confirmación de debilidad
2026-09-11,XLF,111611227.65,0.2035075445418032,0.2704661309447626,653395678.0,-2779826556.15,4,1,9,11,0.8,0.45,5,20,-0.0184165184668777,-0.0194291793514423,Confirmación de debilidad,Absorción potencial,Confirmación de debilidad
2026-09-11,XLV,157146230.75,0.3647318527023705,0.8450605668956812,45790171.39999999,-20757204.15000004,2,3,11,9,0.4,0.55,5,20,-0.0215806183382969,0.0022704480725259,Divergencia bajista,Absorción potencial,Divergencia bajista
2026-09-11,XLE,-68392657.2,-0.1601712403235008,-0.204135197147458,-175754752.15000004,-6267141.199999884,1,4,9,11,0.2,0.45,5,20,0.0073368910180371,0.0423194788942369,Divergencia bajista,Divergencia bajista,Divergencia bajista
2026-09-11,XLY,-67761713.4,-0.3163614152205088,-0.7523934526216375,-490595906.0,-984179352.6999998,1,4,5,14,0.2,0.2631578947368421,5,20,-0.0179271179387103,-0.0452622556027964,Confirmación de debilidad,Confirmación de debilidad,Confirmación de debilidad
2026-09-11,XLP,66731641.6,0.462503110799968,0.819442568173055,159260716.6,-4343373.000000007,3,2,9,9,0.6,0.5,5,20,-0.0018917434221504,-0.0193982836564519,Confirmación de debilidad,Absorción potencial,Confirmación de debilidad
2026-09-11,XLI,34482453.400000006,0.1102377828123256,0.1106785436496906,-435437388.6,-1091356372.4499998,2,3,8,11,0.4,0.4210526315789473,5,20,-0.0304673444771447,-0.0888960501816271,Confirmación de debilidad,Confirmación de debilidad,Confirmación de debilidad
2026-09-11,XLB,-119726197.3,-1.4412982230794271,-1.8249893181344825,-91390162.15,-138958219.15,2,3,7,12,0.4,0.3684210526315789,5,20,-0.0371852974696496,-0.039017875929551,Confirmación de debilidad,Confirmación de debilidad,Confirmación de debilidad
2026-09-11,XLU,-2118820.8,-0.0096320867524657,0.0141686370087943,-45499485.7,43023452.00000001,1,3,9,8,0.25,0.5294117647058824,5,20,-0.0292479592078889,-0.0561950259827278,Absorción potencial,Confirmación de debilidad,Absorción potencial
2026-09-11,XLRE,0.0,0.0,0.0,-97616054.15,-267691002.9,0,3,5,11,0.0,0.3125,5,20,-0.0184384558994774,-0.047492854078604,Confirmación de debilidad,Confirmación de debilidad,Confirmación de debilidad
2026-09-11,XLC,-180186297.6,-0.7960199009891367,-2.093062253286333,-79931345.29999998,-114452147.79999998,2,3,8,11,0.4,0.4210526315789473,5,20,0.0271355971494406,0.0187693918004574,Divergencia bajista,Divergencia bajista,Divergencia bajista
2026-09-14,XLK,-110542917.0,-0.0925337888513662,-0.8048242405010461,-540107687.7,-791714307.0999999,1,4,8,12,0.2,0.4,5,20,-0.021397717135002492,-0.03399538131417357,Confirmación de debilidad,Confirmación de debilidad,Confirmación de debilidad
2026-09-14,XLF,325105958.1,0.5913504563365279,0.7471764983702341,667608390.6500001,-2259852304.05,4,1,10,10,0.8,0.5,5,20,-0.011867370230887686,-0.016672505533894655,Confirmación de debilidad,Absorción potencial,Confirmación de debilidad
2026-09-14,XLV,-109015747.1,-0.2501776991095036,-0.4590568889004519,48244643.55000001,-263661877.65,2,3,10,10,0.4,0.5,5,20,0.0028719901484812738,0.003352275057548093,Divergencia bajista,Confirmación,Divergencia bajista
2026-09-14,XLE,-45180917.6,-0.1068949701265948,-0.0957994565348817,-160069505.10000002,84774682.79999998,1,4,9,11,0.2,0.45,5,20,0.020535758562926887,0.05624953215403239,Confirmación,Divergencia bajista,Confirmación
2026-09-14,XLY,0.0,0.0,0.0,-525068506.1,-995999995.4999998,0,4,4,14,0.0,0.2222222222222222,5,20,-0.02469510364739147,-0.047751579856464166,Confirmación de debilidad,Confirmación de debilidad,Confirmación de debilidad
2026-09-14,XLP,-194140150.3,-1.3476156492094535,-2.10954277884979,-136408187.70000002,-185573880.55,2,3,9,9,0.4,0.5,5,20,-0.0014877410734854823,-0.009270236883329286,Confirmación de debilidad,Confirmación de debilidad,Confirmación de debilidad
2026-09-14,XLI,-33986481.2,-0.1103594403922696,-0.2439163264926522,-118866203.8,-864243269.4500002,2,3,8,11,0.4,0.42105263157894735,5,20,-0.030730424645227905,-0.09263637337449515,Confirmación de debilidad,Confirmación de debilidad,Confirmación de debilidad
2026-09-14,XLB,10093675.4,0.1225133986589263,0.1130825565353725,-157355890.2,-220821529.49999997,2,3,7,12,0.4,0.3684210526315789,5,20,-0.02368116239425211,-0.029287950705116583,Confirmación de debilidad,Confirmación de debilidad,Confirmación de debilidad
2026-09-14,XLU,20904082.0,0.0962281794961285,0.3208915754121322,16316393.8,72788031.20000002,2,2,10,7,0.5,0.5882352941176471,5,20,-0.04499428761166335,-0.060774136594482164,Absorción potencial,Absorción potencial,Absorción potencial
2026-09-14,XLRE,-32345739.0,-0.4055150078314691,-1.352853481291569,-92628892.15,-281932646.70000005,0,3,5,11,0.0,0.3125,5,20,-0.019362238252253472,-0.03970561055746147,Confirmación de debilidad,Confirmación de debilidad,Confirmación de debilidad
2026-09-14,XLC,80512868.8,0.3470500737489958,1.0959976374966662,-61058616.59999998,-5704157.249999985,2,3,9,10,0.4,0.47368421052631576,5,20,0.023941946545116277,0.03040969821207673,Divergencia bajista,Divergencia bajista,Divergencia bajista
